,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
405,2019-05-21 09:15:00,2019-07-18 09:15:00,KARURVYSYA,79.9,67.4,1251.0,1,-15637.5,dailyExit
406,2020-07-08 11:15:00,2020-07-20 10:15:00,POONAWALLA,24.4,24.7,4098.0,1,1229.4000000000028,BreakevenExit
407,2019-07-08 09:15:00,2019-07-18 12:15:00,COLPAL,1172.8,1205.35,85.0,1,2766.7499999999964,BreakevenExit
408,2019-05-16 09:15:00,2019-07-18 15:15:00,SBILIFE,643.05,738.25,155.0,1,14756.000000000007,TargetUsingRsi
409,2019-05-08 15:15:00,2019-07-19 09:15:00,VTL,227.05,192.9,440.0,1,-15026.000000000002,dailyExit
410,2019-07-09 09:15:00,2019-07-19 10:15:00,SJVN,25.0,25.2,4000.0,1,799.9999999999972,BreakevenExit
411,2019-05-08 14:15:00,2019-07-19 12:15:00,PGHH,10445.0,10520.0,9.0,1,675.0,TargetUsingRsi
412,2019-06-21 09:15:00,2019-07-19 14:15:00,PETRONET,233.45,234.55,428.0,1,470.80000000000973,TargetUsingRsi
413,2019-05-15 09:15:00,2019-07-22 09:15:00,GAIL,110.3,86.5,906.0,1,-21562.799999999996,dailyExit
414,2019-06-18 15:15:00,2019-07-22 09:15:00,VIPIND,471.5,388.75,212.0,1,-17543.0,dailyExit
415,2019-05-27 09:15:00,2019-07-22 09:15:00,TRIDENT,6.8,5.3,14705.0,1,-22057.5,dailyExit
416,2019-01-31 15:15:00,2019-07-22 11:15:00,AAVAS,868.0,1457.05,115.0,1,67740.75,TargetUsingRsi
417,2020-07-08 10:15:00,2020-07-22 13:15:00,NAVINFLUOR,1767.1,1767.65,56.0,1,30.800000000010186,BreakevenExit
418,2019-07-12 11:15:00,2019-07-22 14:15:00,GODREJPROP,943.5,947.0,105.0,1,367.5,BreakevenExit
419,2019-06-12 12:15:00,2019-07-22 14:15:00,THERMAX,1119.0,1121.0,89.0,1,178.0,BreakevenExit
420,2019-07-09 11:15:00,2019-07-23 09:15:00,SOBHA,551.5,554.15,181.0,1,479.6499999999959,BreakevenExit
421,2019-07-08 11:15:00,2019-07-23 09:15:00,BALRAMCHIN,153.85,154.65,649.0,1,519.2000000000073,BreakevenExit
422,2019-07-09 11:15:00,2019-07-23 14:15:00,BIRLACORPN,609.95,610.55,163.0,1,97.79999999998518,BreakevenExit
423,2020-07-10 09:15:00,2020-10-22 15:15:00,SBICARD,703.95,829.0,142.0,1,17757.099999999995,TargetUsingRsi
424,2019-06-17 13:15:00,2019-07-23 15:15:00,REDINGTON,53.1,53.5,1883.0,1,753.1999999999973,BreakevenExit
425,2019-06-27 15:15:00,2019-07-24 09:15:00,KSB,714.8,630.1,139.0,1,-11773.29999999999,dailyExit
426,2019-07-04 09:15:00,2019-07-25 09:15:00,PFC,107.7,89.75,928.0,1,-16657.600000000002,dailyExit
427,2019-07-09 10:15:00,2019-07-25 09:15:00,OIL,177.15,155.9,564.0,1,-11985.0,dailyExit
428,2019-06-18 09:15:00,2019-07-25 09:15:00,PERSISTENT,317.5,281.0,314.0,1,-11461.0,dailyExit
429,2019-05-28 09:15:00,2019-07-25 09:15:00,NBCC,64.15,48.0,1558.0,1,-25161.700000000008,dailyExit
430,2019-06-10 09:15:00,2019-07-26 09:15:00,INTELLECT,268.85,230.1,371.0,1,-14376.250000000011,dailyExit
431,2019-06-21 15:15:00,2019-07-26 15:15:00,IPCALAB,474.0,477.5,210.0,1,735.0,BreakevenExit
432,2019-06-26 12:15:00,2019-07-29 09:15:00,TIINDIA,395.35,337.2,252.0,1,-14653.800000000008,dailyExit
433,2019-07-08 12:15:00,2019-07-30 09:15:00,VAIBHAVGBL,175.0,178.0,571.0,1,1713.0,BreakevenExit
434,2019-07-10 12:15:00,2019-07-30 09:15:00,GICRE,230.35,199.05,434.0,1,-13584.199999999993,dailyExit
435,2019-06-10 09:15:00,2019-07-31 09:15:00,RCF,65.3,49.5,1531.0,1,-24189.799999999996,dailyExit
436,2019-03-11 10:15:00,2019-07-31 09:15:00,JINDALSAW,93.85,67.45,1065.0,1,-28115.999999999993,dailyExit
437,2019-07-24 09:15:00,2019-07-31 09:15:00,BLUESTARCO,374.5,338.4,267.0,1,-9638.700000000006,dailyExit
438,2019-07-22 10:15:00,2019-07-31 13:15:00,SPARC,159.05,160.45,628.0,1,879.1999999999857,BreakevenExit
