Date,Portfolio Value,Peak Value,Drawdown %,Stock,Quantity,Entry Price,Daily Close,Position Value,Stock Drawdown %
2025-04-15,1597393.86,1613142.45,0.98,COALINDIA,78.0,385.4,399.25,31141.5,2.8
2025-04-15,1597393.86,1613142.45,0.98,SRF,11.0,2918.15,2991.6,32907.6,6.95
2025-04-15,1597393.86,1613142.45,0.98,JSL,46.0,654.7,558.7,25700.2,21.7
2025-04-15,1597393.86,1613142.45,0.98,AXISBANK,29.0,1037.3,1161.3,33677.7,2.61
2025-04-15,1597393.86,1613142.45,0.98,ADANIENSOL,39.0,777.15,895.15,34910.85,2.07
2025-04-15,1597393.86,1613142.45,0.98,SHRIRAMFIN,48.0,638.15,676.05,32450.4,5.32
2025-04-15,1597393.86,1613142.45,0.98,KOTAKBANK,16.0,1995.4,2123.4,33974.4,0.52
2025-04-15,1597393.86,1613142.45,0.98,CROMPTON,85.0,357.05,335.1,28483.5,9.59
2025-04-15,1597393.86,1613142.45,0.98,VOLTAS,21.0,1443.95,1277.1,26819.1,16.35
2025-04-15,1597393.86,1613142.45,0.98,DMART,8.0,3865.75,4221.5,33772.0,1.05
2025-04-15,1597393.86,1613142.45,0.98,COROMANDEL,17.0,1866.0,2133.6,36271.2,-5.18
2025-04-15,1597393.86,1613142.45,0.98,ICICIBANK,24.0,1272.05,1356.4,32553.6,-1.22
2025-04-15,1597393.86,1613142.45,0.98,JSWENERGY,57.0,528.3,509.7,29052.9,12.06
2025-04-15,1597393.86,1613142.45,0.98,MUTHOOTFIN,14.0,2294.4,2080.7,29129.8,12.09
2025-04-15,1597393.86,1613142.45,0.98,BEL,107.0,282.35,293.6,31415.2,3.63
2025-04-15,1597393.86,1613142.45,0.98,CIPLA,20.0,1504.2,1496.4,29928.0,7.94
2025-04-15,1597393.86,1613142.45,0.98,SUNPHARMA,18.0,1731.75,1693.1,30475.8,4.59
2025-04-15,1597393.86,1613142.45,0.98,VEDL,66.0,455.95,398.7,26314.2,18.73
2025-04-15,1597393.86,1613142.45,0.98,INDHOTEL,39.0,784.8,842.05,32839.95,4.19
2025-04-15,1597393.86,1613142.45,0.98,ADANIPORTS,26.0,1160.55,1232.9,32055.4,4.3
2025-04-15,1597393.86,1613142.45,0.98,BAJFINANCE,4.0,8688.45,9056.5,36226.0,1.39
2025-04-15,1597393.86,1613142.45,0.98,NAVINFLUOR,8.0,4162.5,4270.9,34167.2,7.54
2025-04-15,1597393.86,1613142.45,0.98,POONAWALLA,98.0,306.35,383.8,37612.4,-3.87
2025-04-15,1597393.86,1613142.45,0.98,ABCAPITAL,178.0,168.54,195.82,34855.96,-4.89
2025-04-15,1597393.86,1613142.45,0.98,CAMS,9.0,3741.7,3894.4,35049.6,5.69
2025-04-15,1597393.86,1613142.45,0.98,CANFINHOME,47.0,650.0,697.4,32777.8,0.41
2025-04-15,1597393.86,1613142.45,0.98,HDFCLIFE,47.0,648.9,716.05,33654.35,-2.63
2025-04-15,1597393.86,1613142.45,0.98,GLENMARK,21.0,1468.15,1356.8,28492.8,8.57
2025-04-15,1597393.86,1613142.45,0.98,HDFCBANK,18.0,1749.95,1878.0,33804.0,-0.44
2025-04-15,1597393.86,1613142.45,0.98,MANAPPURAM,142.0,212.54,226.82,32208.44,-2.33
2025-04-15,1597393.86,1613142.45,0.98,TATACOMM,20.0,1553.05,1593.7,31874.0,0.37
2025-04-15,1597393.86,1613142.45,0.98,TATAPOWER,82.0,369.1,381.25,31262.5,3.86
2025-04-15,1597393.86,1613142.45,0.98,CESC,202.0,148.97,157.68,31851.36,1.44
2025-04-15,1597393.86,1613142.45,0.98,CGPOWER,47.0,649.9,598.75,28141.25,16.83
2025-04-15,1597393.86,1613142.45,0.98,CHAMBLFERT,51.0,589.85,654.75,33392.25,1.75
2025-04-15,1597393.86,1613142.45,0.98,HAL,9.0,3722.4,4209.2,37882.8,-2.59
2025-04-15,1597393.86,1613142.45,0.98,HDFCAMC,8.0,3968.7,4130.0,33040.0,5.96
2025-04-15,1597393.86,1613142.45,0.98,LTF,205.0,146.6,158.6,32513.0,-1.34
2025-04-15,1597393.86,1613142.45,0.98,MAXHEALTH,28.0,1084.15,1077.5,30170.0,1.54
2025-04-15,1597393.86,1613142.45,0.98,CUMMINSIND,10.0,3001.95,2895.5,28955.0,9.68
2025-04-15,1597393.86,1613142.45,0.98,HUDCO,150.0,201.27,224.16,33624.0,3.17
2025-04-15,1597393.86,1613142.45,0.98,SBILIFE,21.0,1495.85,1565.4,32873.4,2.34
2025-04-16,1614323.98,1614323.98,0.0,NTPC,91.0,333.0,364.0,33124.0,1.08
2025-04-16,1614323.98,1614323.98,0.0,CHOLAFIN,21.0,1458.95,1587.3,33333.3,4.99
2025-04-16,1614323.98,1614323.98,0.0,HINDALCO,45.0,681.8,609.5,27427.5,17.6
2025-04-16,1614323.98,1614323.98,0.0,INDIGO,7.0,4765.5,5366.0,37562.0,2.89
2025-04-16,1614323.98,1614323.98,0.0,JINDALSTEL,33.0,915.6,881.7,29096.1,14.06
2025-04-16,1614323.98,1614323.98,0.0,JSWSTEEL,30.0,1011.85,1007.2,30216.0,8.06
2025-04-16,1614323.98,1614323.98,0.0,TATASTEEL,200.0,150.43,137.14,27428.0,15.46
2025-04-16,1614323.98,1614323.98,0.0,BERGEPAINT,60.0,507.0,543.6,32616.0,4.81
2025-04-16,1614323.98,1614323.98,0.0,COALINDIA,78.0,385.4,398.85,31110.3,2.8
2025-04-16,1614323.98,1614323.98,0.0,SRF,11.0,2918.15,2990.4,32894.4,6.95
2025-04-16,1614323.98,1614323.98,0.0,JSL,46.0,654.7,561.45,25826.7,21.7
2025-04-16,1614323.98,1614323.98,0.0,AXISBANK,29.0,1037.3,1190.8,34533.2,2.61
2025-04-16,1614323.98,1614323.98,0.0,ADANIENSOL,39.0,777.15,914.15,35651.85,2.07
2025-04-16,1614323.98,1614323.98,0.0,SHRIRAMFIN,48.0,638.15,691.75,33204.0,5.32
2025-04-16,1614323.98,1614323.98,0.0,KOTAKBANK,16.0,1995.4,2188.1,35009.6,0.52
2025-04-16,1614323.98,1614323.98,0.0,CROMPTON,85.0,357.05,332.2,28237.0,9.59
2025-04-16,1614323.98,1614323.98,0.0,VOLTAS,21.0,1443.95,1284.9,26982.9,16.35
2025-04-16,1614323.98,1614323.98,0.0,DMART,8.0,3865.75,4357.1,34856.8,1.05
2025-04-16,1614323.98,1614323.98,0.0,COROMANDEL,17.0,1866.0,2118.3,36011.1,-5.18
2025-04-16,1614323.98,1614323.98,0.0,ICICIBANK,24.0,1272.05,1406.7,33760.8,-1.22
2025-04-16,1614323.98,1614323.98,0.0,JSWENERGY,57.0,528.3,507.9,28950.3,12.06
2025-04-16,1614323.98,1614323.98,0.0,MUTHOOTFIN,14.0,2294.4,2111.6,29562.4,12.09
2025-04-16,1614323.98,1614323.98,0.0,BEL,107.0,282.35,295.15,31581.05,3.63
2025-04-16,1614323.98,1614323.98,0.0,CIPLA,20.0,1504.2,1515.2,30304.0,7.94
2025-04-16,1614323.98,1614323.98,0.0,SUNPHARMA,18.0,1731.75,1751.5,31527.0,4.59
2025-04-16,1614323.98,1614323.98,0.0,VEDL,66.0,455.95,400.05,26403.3,18.73
2025-04-16,1614323.98,1614323.98,0.0,INDHOTEL,39.0,784.8,841.2,32806.8,4.19
2025-04-16,1614323.98,1614323.98,0.0,ADANIPORTS,26.0,1160.55,1259.4,32744.4,4.3
2025-04-16,1614323.98,1614323.98,0.0,BAJFINANCE,4.0,8688.45,9162.5,36650.0,1.39
